Mortal	Immortal	Protein	nPeptide	log2FC	log2FC_SE	FDR	log_oddsDE
JFCF_6	JFCF_6_T_1_C	sp|P49023|PAXI_HUMAN	3	-0.0587952	0.663735	0.763077	-5.20307
JFCF_6	JFCF_6_T_1_C	sp|P49207|RL34_HUMAN	2	0.606611	0.876305	0.684338	-4.46716
JFCF_6	JFCF_6_T_1_C	sp|P49257|LMAN1_HUMAN	2	-0.244467	0.0753908	0.709391	-4.70127
JFCF_6	JFCF_6_T_1_C	sp|P49327|FAS_HUMAN	10	0.0843986	0.437639	0.783374	-5.87092
JFCF_6	JFCF_6_T_1_C	sp|P49368|TCPG_HUMAN	6	-0.187555	0.332441	0.737824	-4.96067
JFCF_6	JFCF_6_T_1_C	sp|P49411|EFTU_HUMAN	3	-0.423668	0.226973	0.568452	-3.3223
JFCF_6	JFCF_6_T_1_C	sp|P49458|SRP09_HUMAN	3	0.563809	0.244311	0.275018	-1.20955
JFCF_6	JFCF_6_T_1_C	sp|P49588|SYAC_HUMAN	7	0.389623	0.1934	0.402841	-2.06682
JFCF_6	JFCF_6_T_1_C	sp|P49589|SYCC_HUMAN	4	0.742154	0.358269	0.111213	0.174103
JFCF_6	JFCF_6_T_1_C	sp|P49591|SYSC_HUMAN	4	-0.326527	0.49181	0.712506	-4.72092
JFCF_6	JFCF_6_T_1_C	sp|P49720|PSB3_HUMAN	3	0.588765	0.494889	0.545659	-3.18945
JFCF_6	JFCF_6_T_1_C	sp|P49721|PSB2_HUMAN	4	0.331437	0.419135	0.678037	-4.43679
JFCF_6	JFCF_6_T_1_C	sp|P49736|MCM2_HUMAN	1	-1.82531	0.204817	0.0614872	0.964515
JFCF_6	JFCF_6_T_1_C	sp|P49748|ACADV_HUMAN	3	1.03749	0.389243	0.0776537	0.767831
JFCF_6	JFCF_6_T_1_C	sp|P49755|TMEDA_HUMAN	3	0.063183	0.214978	0.76331	-5.20955
JFCF_6	JFCF_6_T_1_C	sp|P49792|RBP2_HUMAN	3	-0.366917	0.560659	0.709041	-4.69992
JFCF_6	JFCF_6_T_1_C	sp|P49821|NDUV1_HUMAN	2	0.856107	0.308078	0.413302	-2.15645
JFCF_6	JFCF_6_T_1_C	sp|P49902|5NTC_HUMAN	2	0.13714	0.191011	0.748488	-5.02967
JFCF_6	JFCF_6_T_1_C	sp|P50213|IDH3A_HUMAN	4	-0.347793	0.404522	0.676747	-4.4165
